Rank,Release Group,Worldwide,Domestic,%,Foreign,%
1,Top Gun: Maverick,"$1,487,994,195","$717,994,195",48.3%,"$770,000,000",51.7%
2,Jurassic World: Dominion,"$1,001,136,080","$376,009,080",37.6%,"$625,127,000",62.4%
3,Doctor Strange in the Multiverse of Madness,"$955,775,804","$411,331,607",43%,"$544,444,197",57%
4,Minions: The Rise of Gru,"$939,433,210","$369,500,210",39.3%,"$569,933,000",60.7%
5,The Batman,"$770,836,163","$369,345,583",47.9%,"$401,490,580",52.1%
6,Thor: Love and Thunder,"$760,928,081","$343,256,830",45.1%,"$417,671,251",54.9%
7,Black Panther: Wakanda Forever,"$737,081,990","$397,545,706",53.9%,"$339,536,284",46.1%
8,Water Gate Bridge,"$626,571,697","$117,294",<0.1%,"$626,454,403",100%
9,Fantastic Beasts: The Secrets of Dumbledore,"$405,161,334","$95,850,844",23.7%,"$309,310,490",76.3%
10,Sonic the Hedgehog 2,"$402,656,846","$190,872,904",47.4%,"$211,783,942",52.6%
11,Uncharted,"$401,748,820","$148,648,820",37%,"$253,100,000",63%
12,Black Adam,"$384,920,683","$165,420,683",43%,"$219,500,000",57%
13,Elvis,"$286,040,048","$151,040,048",52.8%,"$135,000,000",47.2%
14,The Bad Guys,"$250,162,278","$97,233,630",38.9%,"$152,928,648",61.1%
15,Bullet Train,"$239,268,602","$103,368,602",43.2%,"$135,900,000",56.8%
16,Lightyear,"$226,425,420","$118,307,188",52.2%,"$108,118,232",47.8%
17,Too Cool to Kill,"$217,254,604","$185,882",<0.1%,"$217,068,722",99.9%
18,Smile,"$215,978,513","$105,778,513",49%,"$110,200,000",51%
19,Nice View,"$211,019,042",-,-,"$211,019,042",100%
20,DC League of Super-Pets,"$203,857,117","$93,657,117",45.9%,"$110,200,000",54.1%
21,The Lost City,"$190,844,029","$105,344,029",55.2%,"$85,500,000",44.8%
22,One Piece Film: Red,"$172,863,257","$12,775,324",7.4%,"$160,087,933",92.6%
23,Nope,"$171,235,592","$123,277,080",72%,"$47,958,512",28%
24,Morbius,"$167,460,961","$73,865,530",44.1%,"$93,595,431",55.9%
25,Ticket to Paradise,"$165,002,998","$66,829,025",40.5%,"$98,173,973",59.5%
26,The Black Phone,"$161,204,742","$89,887,230",55.8%,"$71,317,512",44.2%
27,Where the Crawdads Sing,"$140,230,760","$90,230,760",64.3%,"$50,000,000",35.7%
28,Scream,"$140,041,405","$81,641,405",58.3%,"$58,400,000",41.7%
29,Death on the Nile,"$137,307,235","$45,630,104",33.2%,"$91,677,131",66.8%
30,Halloween Ends,"$104,186,860","$64,079,860",61.5%,"$40,107,000",38.5%
31,Everything Everywhere All at Once,"$103,448,650","$70,008,593",67.7%,"$33,440,057",32.3%
32,RRR,"$102,166,248","$11,113,000",10.9%,"$91,053,248",89.1%
33,The Roundup,"$101,151,334","$812,859",0.8%,"$100,338,475",99.2%
34,Downton Abbey: A New Era,"$92,241,868","$43,896,550",47.6%,"$48,345,318",52.4%
35,The Woman King,"$92,217,011","$67,117,011",72.8%,"$25,100,000",27.2%
36,K.G.F: Chapter 2,"$89,123,940","$2,874,000",3.2%,"$86,249,940",96.8%
37,Don't Worry Darling,"$86,709,403","$45,309,403",52.3%,"$41,400,000",47.7%
38,Dragon Ball Super: Super Hero,"$86,562,140","$38,112,140",44%,"$48,450,000",56%
39,"Lyle, Lyle, Crocodile","$85,122,096","$45,822,096",53.8%,"$39,300,000",46.2%
40,Dog,"$84,774,243","$61,778,069",72.9%,"$22,996,174",27.1%
41,Jackass Forever,"$80,483,820","$57,743,451",71.7%,"$22,740,369",28.3%
42,Avatar 2022 Re-release,"$75,520,575","$24,714,024",32.7%,"$50,806,551",67.3%
43,Detective Conan: The Bride of Halloween,"$72,653,401",-,-,"$72,653,401",100%
44,Interstellar 2021 Re-release,"$72,119,604",-,-,"$72,119,604",100%
45,The Northman,"$69,633,110","$34,233,110",49.2%,"$35,400,000",50.8%
46,Moonfall,"$67,293,836","$19,060,660",28.3%,"$48,233,176",71.7%
47,Beast,"$59,095,809","$31,846,530",53.9%,"$27,249,279",46.1%
48,Suzume no tojimari,"$56,548,327",-,-,"$56,548,327",100%
49,Confidential Assignment 2: International,"$54,486,330",-,-,"$54,486,330",100%
50,Ambulance,"$51,828,117","$22,309,115",43%,"$29,519,002",57%
51,Marry Me,"$50,455,382","$22,438,180",44.5%,"$28,017,202",55.5%
52,Brahmastra Part One: Shiva,"$50,164,785","$7,839,108",15.6%,"$42,325,677",84.4%
53,The Menu,"$48,688,161","$25,930,249",53.3%,"$22,757,912",46.7%
54,Barbarian,"$45,335,121","$40,842,944",90.1%,"$4,492,177",9.9%
55,Strange World,"$43,703,635","$26,587,917",60.8%,"$17,115,718",39.2%
56,Paws of Fury: The Legend of Hank,"$41,694,084","$17,811,382",42.7%,"$23,882,702",57.3%
57,Prey for the Devil,"$41,502,214","$19,452,287",46.9%,"$22,049,927",53.1%
58,Orphan: First Kill,"$37,083,743","$5,413,227",14.6%,"$31,670,516",85.4%
59,Kingdom II: Harukanaru Daichi e,"$34,963,395",-,-,"$34,963,395",100%
60,The Bob's Burgers Movie,"$34,148,750","$31,933,830",93.5%,"$2,214,920",6.5%
61,Hunt,"$33,790,557","$16,348",<0.1%,"$33,774,209",100%
62,The Invitation,"$33,700,080","$25,100,080",74.5%,"$8,600,000",25.5%
63,BTS Permission to Dance on Stage - Seoul: Live Viewing,"$32,600,000","$6,840,000",21%,"$25,760,000",79%
64,Shin Ultraman,"$31,523,533",-,-,"$31,523,533",100%
65,Amsterdam,"$31,145,968","$14,947,969",48%,"$16,197,999",52%
66,Tad the Lost Explorer and the Emerald Tablet,"$30,478,656","$67,599",0.2%,"$30,411,057",99.8%
67,Vikram,"$29,837,637","$1,770,000",5.9%,"$28,067,637",94.1%
68,The Unbearable Weight of Massive Talent,"$29,116,320","$20,300,157",69.7%,"$8,816,163",30.3%
69,Mrs. Harris Goes to Paris,"$28,071,915","$10,433,915",37.2%,"$17,638,000",62.8%
70,The 355,"$27,826,938","$14,570,455",52.4%,"$13,256,483",47.6%
71,Serial (Bad) Weddings 3,"$27,281,581",-,-,"$27,281,581",100%
72,Violent Night,"$25,001,636","$16,987,965",67.9%,"$8,013,671",32.1%
73,The Kashmir Files,"$24,821,898","$1,485,000",6%,"$23,336,898",94%
74,The Confidence Man JP: Episode of the Hero,"$23,214,581",-,-,"$23,214,581",100%
75,Harry Potter and the Chamber of Secrets 2022 Re-release,"$23,102,370",-,-,"$23,102,370",100%
76,The Witch: Part 2 - The Other One,"$23,068,596","$143,723",0.6%,"$22,924,873",99.4%
77,The Last 10 Years,"$22,539,146",-,-,"$22,539,146",100%
78,Harry Potter and the Chamber of Secrets 2021 Re-release,"$22,349,685","$191,501",0.9%,"$22,158,184",99.1%
79,6/45,"$22,263,336",-,-,"$22,263,336",100%
80,Doraemon the Movie: Nobita's Little Star Wars 2021,"$22,044,058",-,-,"$22,044,058",100%
81,See How They Run,"$21,951,780","$9,586,237",43.7%,"$12,365,543",56.3%
82,Ponniyin Selvan: Part I,"$21,876,105","$4,282,000",19.6%,"$17,594,105",80.4%
83,Silent Parade,"$21,717,636",-,-,"$21,717,636",100%
84,Father Stu,"$21,592,379","$20,884,796",96.7%,"$707,583",3.3%
85,Decision to Leave,"$21,205,781","$1,927,254",9.1%,"$19,278,527",90.9%
86,Emergency Declaration,"$20,879,335","$412,196",2%,"$20,467,139",98%
87,Turning Red,"$20,122,621",-,-,"$20,122,621",100%
88,Three Thousand Years of Longing,"$19,223,063","$8,286,741",43.1%,"$10,936,322",56.9%
89,After Ever Happy,"$19,152,310","$1,072,750",5.6%,"$18,079,560",94.4%
90,The Banshees of Inisherin,"$19,111,442","$8,365,474",43.8%,"$10,745,968",56.2%
91,Beast,"$18,911,959",-,-,"$18,911,959",100%
92,Godfather,"$18,737,287",-,-,"$18,737,287",100%
93,Bhool Bhulaiyaa 2,"$18,307,258",-,-,"$18,307,258",100%
94,Die Schule der magischen Tiere 2,"$18,248,643",-,-,"$18,248,643",100%
95,November,"$17,576,463",-,-,"$17,576,463",100%
96,Fall,"$17,373,850","$7,240,521",41.7%,"$10,133,329",58.3%
